ts,vx,vy,vz,wx,wy,wz,gripper_btn,mode_btn
1779556081.296043,0.03125,-0.009765625,-0.01953125,-0.005859375,-0.0078125,0.02734375,0,0
1779556081.312036,0.03125,-0.033203125,-0.01953125,-0.005859375,-0.0078125,0.02734375,0,0
1779556081.328074,0.009765625,-0.08203125,-0.01953125,-0.005859375,-0.0078125,0.02734375,0,0
1779556081.336074,0.009765625,-0.08203125,-0.01953125,0.0,-0.0078125,-0.02734375,0,0
1779556081.344060,0.029296875,-0.103515625,-0.01953125,0.0,-0.0078125,-0.02734375,0,0
1779556081.352061,0.029296875,-0.103515625,-0.01953125,0.0,-0.0078125,-0.04296875,0,0
1779556081.360037,0.041015625,-0.099609375,-0.01953125,0.0,-0.0078125,-0.04296875,0,0
1779556081.368041,0.041015625,-0.099609375,-0.01953125,0.0,-0.0078125,-0.068359375,0,0
1779556081.376074,0.03125,-0.083984375,-0.01953125,0.0,-0.0078125,-0.068359375,0,0
1779556081.384019,0.03125,-0.083984375,-0.01953125,0.0,-0.0078125,-0.087890625,0,0
1779556081.392082,0.02734375,-0.111328125,-0.015625,0.0,-0.0078125,-0.087890625,0,0
1779556081.400092,0.02734375,-0.111328125,-0.015625,0.0,-0.0078125,-0.1015625,0,0
1779556081.408087,0.056640625,-0.177734375,-0.021484375,0.0,-0.0078125,-0.1015625,0,0
1779556081.416069,0.056640625,-0.177734375,-0.021484375,0.0,-0.0078125,-0.13671875,0,0
1779556081.424059,0.095703125,-0.251953125,0.0,0.0,-0.0078125,-0.13671875,0,0
1779556081.432100,0.095703125,-0.251953125,0.0,-0.009765625,-0.0078125,-0.171875,0,0
1779556081.440040,0.12890625,-0.2890625,0.0,-0.009765625,-0.0078125,-0.171875,0,0
1779556081.448150,0.12890625,-0.2890625,0.0,-0.02734375,-0.0078125,-0.1953125,0,0
1779556081.456070,0.130859375,-0.2890625,0.0,-0.02734375,-0.0078125,-0.1953125,0,0
1779556081.464041,0.130859375,-0.2890625,0.0,-0.041015625,-0.0078125,-0.21875,0,0
1779556081.472068,0.115234375,-0.279296875,0.0,-0.041015625,-0.0078125,-0.21875,0,0
1779556081.480076,0.115234375,-0.279296875,0.0,-0.046875,-0.0078125,-0.23828125,0,0
1779556081.488067,0.09375,-0.28125,0.0,-0.046875,-0.0078125,-0.23828125,0,0
1779556081.496058,0.09375,-0.28125,0.0,-0.052734375,-0.0078125,-0.265625,0,0
1779556081.504065,0.091796875,-0.306640625,0.0,-0.052734375,-0.0078125,-0.265625,0,0
1779556081.512058,0.091796875,-0.306640625,0.0,-0.046875,-0.0078125,-0.30078125,0,0
1779556081.520038,0.09765625,-0.3359375,0.0,-0.046875,-0.0078125,-0.30078125,0,0
1779556081.528044,0.09765625,-0.3359375,0.0,-0.044921875,-0.0078125,-0.32421875,0,0
1779556081.536041,0.107421875,-0.3359375,0.0,-0.044921875,-0.0078125,-0.32421875,0,0
1779556081.544057,0.107421875,-0.3359375,0.0,-0.0390625,-0.0078125,-0.333984375,0,0
1779556081.552021,0.107421875,-0.328125,0.0,-0.0390625,-0.0078125,-0.333984375,0,0
1779556081.560059,0.107421875,-0.328125,0.0,-0.041015625,-0.0078125,-0.33984375,0,0
1779556081.568069,0.099609375,-0.3125,0.0,-0.041015625,-0.0078125,-0.33984375,0,0
1779556081.576070,0.099609375,-0.3125,0.0,-0.048828125,-0.0078125,-0.353515625,0,0
1779556081.584086,0.080078125,-0.296875,0.0,-0.048828125,-0.0078125,-0.353515625,0,0
1779556081.592027,0.080078125,-0.296875,0.0,-0.052734375,-0.0078125,-0.369140625,0,0
1779556081.600150,0.064453125,-0.291015625,0.0,-0.052734375,-0.0078125,-0.369140625,0,0
1779556081.608085,0.064453125,-0.291015625,0.0,-0.048828125,-0.0078125,-0.380859375,0,0
1779556081.616108,0.0625,-0.2890625,0.0,-0.048828125,-0.0078125,-0.380859375,0,0
1779556081.624081,0.0625,-0.2890625,0.0,-0.029296875,-0.0078125,-0.390625,0,0
1779556081.632070,0.05859375,-0.279296875,0.0,-0.029296875,-0.0078125,-0.390625,0,0
1779556081.640065,0.05859375,-0.279296875,0.0,-0.009765625,-0.0078125,-0.408203125,0,0
1779556081.648063,0.048828125,-0.263671875,0.0,-0.009765625,-0.0078125,-0.408203125,0,0
1779556081.656061,0.048828125,-0.263671875,0.0,0.0,-0.0078125,-0.427734375,0,0
1779556081.664061,0.0390625,-0.251953125,0.0,0.0,-0.0078125,-0.427734375,0,0
1779556081.672033,0.0390625,-0.251953125,0.0,0.0,-0.0078125,-0.44140625,0,0
1779556081.680053,0.03515625,-0.251953125,0.0,0.0,-0.0078125,-0.44140625,0,0
1779556081.688051,0.03515625,-0.251953125,0.0,0.0,-0.0078125,-0.447265625,0,0
1779556081.696030,0.03125,-0.244140625,0.0,0.0,-0.0078125,-0.447265625,0,0
1779556081.704022,0.03125,-0.244140625,0.0,0.0,-0.0078125,-0.455078125,0,0
1779556081.712054,0.0234375,-0.232421875,0.0,0.0,-0.0078125,-0.455078125,0,0
1779556081.720039,0.0234375,-0.232421875,0.0,0.0,-0.0078125,-0.46484375,0,0
1779556081.728100,0.013671875,-0.21484375,0.0,0.0,-0.0078125,-0.46484375,0,0
1779556081.736092,0.013671875,-0.21484375,0.0,-0.00390625,-0.0078125,-0.484375,0,0
1779556081.744041,0.0,-0.197265625,0.0,-0.00390625,-0.0078125,-0.484375,0,0
1779556081.752038,0.0,-0.197265625,0.0,-0.0078125,-0.0078125,-0.50390625,0,0
1779556081.760047,0.0,-0.1796875,0.0,-0.0078125,-0.0078125,-0.50390625,0,0
1779556081.768034,0.0,-0.1796875,0.0,0.0,-0.0078125,-0.525390625,0,0
1779556081.776068,0.0,-0.16015625,0.0,0.0,-0.0078125,-0.525390625,0,0
1779556081.784096,0.0,-0.16015625,0.0,0.0,-0.0078125,-0.548828125,0,0
1779556081.792101,0.0,-0.142578125,0.0,0.0,-0.0078125,-0.548828125,0,0
1779556081.800101,0.0,-0.142578125,0.0,0.0,-0.0078125,-0.5703125,0,0
1779556081.808049,0.0,-0.130859375,0.0,0.0,-0.0078125,-0.5703125,0,0
1779556081.816073,0.0,-0.130859375,0.0,0.0,-0.0078125,-0.5859375,0,0
1779556081.824082,0.0,-0.126953125,0.0,0.0,-0.0078125,-0.5859375,0,0
1779556081.832056,0.0,-0.126953125,0.0,0.0,-0.0078125,-0.59375,0,0
1779556081.840097,0.0,-0.12109375,0.0,0.0,-0.0078125,-0.59375,0,0
1779556081.848092,0.0,-0.12109375,0.0,0.0,-0.0078125,-0.599609375,0,0
1779556081.856068,0.0,-0.115234375,0.0,0.0,-0.0078125,-0.599609375,0,0
1779556081.864130,0.0,-0.115234375,0.0,0.0,-0.0078125,-0.607421875,0,0
1779556081.872071,0.0,-0.099609375,0.0,0.0,-0.0078125,-0.607421875,0,0
1779556081.880029,0.0,-0.099609375,0.0,0.0,-0.0078125,-0.623046875,0,0
1779556081.888089,0.0,-0.08203125,0.0,0.0,-0.0078125,-0.623046875,0,0
1779556081.896089,0.0,-0.08203125,0.0,0.0,-0.0078125,-0.642578125,0,0
1779556081.904058,0.0,-0.0625,0.0,0.0,-0.0078125,-0.642578125,0,0
1779556081.911996,0.0,-0.0625,0.0,0.0,-0.0078125,-0.6640625,0,0
1779556081.920069,0.0,-0.0546875,0.0,0.0,-0.0078125,-0.6640625,0,0
1779556081.928031,0.0,-0.0546875,0.0,0.0,-0.0078125,-0.669921875,0,0
1779556081.936069,0.0,-0.0546875,0.0,0.0,-0.0078125,-0.669921875,0,0
1779556081.944042,0.0,-0.0546875,0.0,0.0,-0.0078125,-0.669921875,0,0
1779556081.952049,0.0,-0.060546875,0.0,0.0,-0.0078125,-0.669921875,0,0
1779556081.960087,0.0,-0.060546875,0.0,0.0,-0.0078125,-0.666015625,0,0
